ACCOUNTID,TRANSACTIONID,TRANSTYPE,AMOUNT,TRANSDATE,DESCRIPTION,TEXT
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop76",EBITDA is up 4.1%.
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC435 CORP",EBIT is up more than 10%.
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK243",And our net income Group share is EUR408m.
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS h4ardware","Free cash flow, which is a very important indicator, as you know, is above EUR1,047m, Christophe will comment on this."
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outle23t",And our financial flexibility has remained excellent with our net debt over EBITDA is 2.9 times.
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP",We're going to ask the general assembly to pay a dividend of EUR0.65 per share.
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP65","So you will agree with me that these results are very satisfactory, once again, in a context which I would describe as complex."
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Air34tel",We'll come back to this throughout the presentation.
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop34","Taking a look at the next slide, you will see what the -- where the commercial successes are coming from for 2015."
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC3 CORP",This is true for the entire Group and all the divisions.
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BAN4K","Investment decisions are made centrally, however, our commercial policies are very much local."
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR PO6S hardware",So the 2015 success stories are the success stories of the people out there in the field.
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Ou6tlet",I can't go through all the contracts.
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CO34RP",Let me just give you a few starting off with water in France.
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP65","I'm very happy, very proud of the development of our new services."
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Air75tel","An illustration of this would be the decarbonation, which is a way to soften water, with the Gennevilliers municipality, we have a contract."
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop77","We renewed the contract, which is a public delegation contract."
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC34 CORP",The value is EUR639m over a 12-year period.
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK65","We were also able to get the contract for water supply, so this is de-carbonated water supply, we have a EUR234m contract."
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS 234hardware","This is 15-year contract, to improve the quality of water, to secure the water supply to over 600,000 citizens living in the Gennevilliers area."
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet46","What is interesting with this new contract is that it perfectly illustrates the trust, how much our customers trust us, and our ability to roll out technologies, technological innovations, including in areas where we have operated for many years."
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP543","In waste, I would like to come back to the Covaldem 11 contract."
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP546","This is a contract which covers seven municipalities, including the Municipality of Carcassonne."
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Airt756el",Total amount is EUR459m over a 19-year period.
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop754","It's a very innovative partnership, which brings together civil society and municipalities with a new governance model, which I would describe as the collective collaborative model, with different stakeholders, including Board level."
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC 433CORP",This is how this new partnership contract will be managed.
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK675","With this contract, we're going to become better at optimizing waste."
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS h23ardware","And the overall rate, reuse rate, will be much better than what we have so far."
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet65","So this is going to generate additional turnover, and once again, it illustrates that as a company we are becoming increasingly innovative."
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP234","This is the first contract, public service delegation contract."
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP52",We've never had anything like this in waste.
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Air47tel","We've had it in incineration, but this is not an incineration contract."
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop",It's a different contract.
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC CORP34","So, another contract, another deal I would like to comment is -- as you can see, first of all, we've reinforced our positions across the globe."
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK64",This is very much the case in Asia.
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS 676hardware","China, as you can see, is a very promising and strong market."
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet673","The authorities are increasingly seeking to give a priority to environmental questions, and we have a new contract to pick up a 30-year contract for -- in Changshu for a, which is an industrial park, for wastewater treatment."
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP87",This makes it the 11th -- it's the 11th biggest wastewater treatment facility in China.
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP756","And it's an interesting contract because it's an area where chemical operators, chemical industries and fluoride is being processed and treated."
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Airt34el",The last contract is the contract we picked up with Sanofi.
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop345",I've commented on this contract during the announcement of our half-year results.
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC 755CORP",And we -- there are additional contracts as well.
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK435",We have a multi-site contract which we just signed with Safran.
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS h234ardware",This is a EUR10m contract for a maximum length of five years.
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet56",And it includes waste management as well as treatment facility management for 11 sites.
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP76","Suez is -- will be identifying progress opportunities to better manage waste, waste reuse, metals, oils, wood, cardboard, plastic."
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP342","And we will significantly contribute to the company's footprint, Safran's footprint."
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Airt567el","This is a beautiful example of a partnership and industrial partnership where Suez is providing all its experience and knowhow to a large company, Safran."
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop233","And as you probably know, we've had a joint venture with Safran and Airbus with tarmac near the city of Tarbes."
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC 23CORP",So these examples show how important it is to have industrial partnerships and how we've been able to address the needs of -- different needs of our customers.
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK667","So, once again the competitive environment has become more complex in the meantime."
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC CORP757","No one anticipated 2015 would be such a complicated year with the geopolitical changes, a number of crises in Brazil, in Russia, for example, deflation in Western countries, world growth which is slower than expected, especially influenced by the slowdown of the Chinese economy and of course with the drop of raw -- in the price of raw materials."
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK242",The outlook is still pretty negative with some of our private and public customers in a number of developed countries.
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS h768ardware","And again, as I said, competition has become more complex with newcomers."
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet346","A number of Asian companies are starting to do business in the Middle East, for example, and they're now also interested in Europe, of course."
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORP85",And a lot of the big players are restructuring in order to meet the new challenges.
1,65015210,debit,232,2/22/2020,"CAR REPARING PAYMENT, ABC CORP25","In 2015, our activities were positively impacted by weather in France, in Spain, and even in Chile, with volumes sold above long-term averages, expected averages."
1,86945155,debit,175,2/18/2020,"AUTO PAYMENT OF MOBILE BILLS,Air6587tel","So you will agree, the economic context was not very favorable, and this was of course very much the case in France as well."
1,78645455,debit,456,2/21/2020,"WINE Purchase,PQR Shop3465","The level of industrial production in France is still behind what we had in 2008, whereas countries like Germany have really managed to catch up since the subprime crisis."
1,79534555,credit,40,2/22/2020,"REVERSE TRANSACTION, ABC C56ORP","And there's more and more concern about risks, both with industrial companies and municipalities."
1,76552585,debit,999,2/22/2020,"AUTO LOAN PAYMENT,ABC BANK576",People are -- have become a lot more sensitive to [debt].
1,40012548,debit,600,2/18/2020,"HARDWARE , PURCHASE FOR POS hu85ardware","Therefore, investments have contracted."
1,40021325,debit,456,2/21/2020,"PETER ENGLAND CLOTHS,XYZ Outlet75","Again this is very much the case with private companies as well as municipalities, people are very cautious and are giving priority to short term."
1,40021328,credit,10,2/22/2020,"CREDIT POINTS PAYMENT,ABC CORPhf","The competitive landscape hasn't really changed in France, but there is more and more pressure on margins in order to remain competitive."
